,item_id,labels,en,es-CO,de,fr
1153,ToM-scene-16-instruct4,theory-of-mind,"So Sophie looks everywhere and she can’t find her shoe. Dad gets mad at Sophie, because she lost her shoe and now they are late for school.","So Sophie looks everywhere and she can’t find her shoe. Dad gets mad at Sophie, because she lost her shoe and now they are late for school.","So Sophie looks everywhere and she can’t find her shoe. Dad gets mad at Sophie, because she lost her shoe and now they are late for school.","Alors Sophie regarde partout et elle ne peut pas trouver de chaussures. Papa devient fou à Sophie, parce qu'elle a perdu sa chaussure et maintenant ils sont en retard pour l'école."
1154,ToM-scene-16-q3-false_belief,theory-of-mind,Is it fair that Dad is mad at Sophie for losing her shoe?,Is it fair that Dad is mad at Sophie for losing her shoe?,Is it fair that Dad is mad at Sophie for losing her shoe?,Est-il juste que Papa soit fou à Sophie pour avoir perdu sa chaussure?
1155,ToM-scene-16-q4-reference,theory-of-mind,Is Dad mad at James?,Is Dad mad at James?,Is Dad mad at James?,Le papa est-il fou à James?
1156,ToM-scene-16-q5-reference,theory-of-mind,Is Sophie mad at James?,Is Sophie mad at James?,Is Sophie mad at James?,Sophie est-elle fou à James?
1157,ToM-scene-16-instruct5,theory-of-mind,"When James sees that Dad is mad at Sophie, he goes to the toy box and gets the shoe, and gives it back to Sophie.","When James sees that Dad is mad at Sophie, he goes to the toy box and gets the shoe, and gives it back to Sophie.","When James sees that Dad is mad at Sophie, he goes to the toy box and gets the shoe, and gives it back to Sophie.","Quand Jacques voit que Papa est fou à Sophie, il va dans la boîte à jouets et reçoit la chaussure, et le renvoie à Sophie."
1158,ToM-scene-16-q6-reference,theory-of-mind,Is Dad mad at Sophie now?,Is Dad mad at Sophie now?,Is Dad mad at Sophie now?,Le papa est-il fou à Sophie maintenant?
1159,ToM-scene-16-q7-reference,theory-of-mind,Is Dad mad at James now?,Is Dad mad at James now?,Is Dad mad at James now?,Mon papa est-il fou à Jacques maintenant?
1160,ToM-scene-16-q8-reference,theory-of-mind,Is Sophie mad at James now?,Is Sophie mad at James now?,Is Sophie mad at James now?,Sophie est-elle fou à Jacques maintenant?
1161,ToM-scene-16-instruct6,theory-of-mind,"James tells Sophie that he’s very sorry, and Sophie and Dad forgive James. They all hug.","James tells Sophie that he’s very sorry, and Sophie and Dad forgive James. They all hug.","James tells Sophie that he’s very sorry, and Sophie and Dad forgive James. They all hug.","James dit à Sophie qu’il est très désolé, et Sophie et Papa pardonnent à James."
1162,ToM-scene-17-instruct1,theory-of-mind,"This is Mika. Mika’s mom owns a bookshop, and sometimes Mika helps out. Earlier today, Mika was organizing books on tables and shelves. Mika put a very large stack of blue books on the desk, a medium-sized stack of red books on the table, and a small stack of yellow books on the shelf.","This is Mika. Mika’s mom owns a bookshop, and sometimes Mika helps out. Earlier today, Mika was organizing books on tables and shelves. Mika put a very large stack of blue books on the desk, a medium-sized stack of red books on the table, and a small stack of yellow books on the shelf.","This is Mika. Mika’s mom owns a bookshop, and sometimes Mika helps out. Earlier today, Mika was organizing books on tables and shelves. Mika put a very large stack of blue books on the desk, a medium-sized stack of red books on the table, and a small stack of yellow books on the shelf.","Mika est la mère de Mika qui possède une librairie et parfois Mika y contribue. Plus tôt dans la journée, Mika organisait des livres sur des tables et des étagères. Mika a mis un très grand nombre de livres bleus sur le bureau, une pile moyenne de livres rouges sur la table, et une petite pile de livres jaunes sur l'étagère."
1163,ToM-scene-17-instruct2,theory-of-mind,"Mika’s mom just walked in. Mom asks Mika for one of the books. Mika remembers where the book is, and tells mom, “The book is in the small stack!”","Mika’s mom just walked in. Mom asks Mika for one of the books. Mika remembers where the book is, and tells mom, “The book is in the small stack!”","Mika’s mom just walked in. Mom asks Mika for one of the books. Mika remembers where the book is, and tells mom, “The book is in the small stack!”",La mère de Mika vient de marcher. Maman demande à Mika un livre. Mika se souvient de l’endroit où se trouve le livre et raconte à sa mère « Le livre est dans la petite pile! »
1164,ToM-scene-17-q1-reference,theory-of-mind,Which stack of books will mom look in?,Which stack of books will mom look in?,Which stack of books will mom look in?,Dans quelle pile de livres votre mère va-t-elle regarder?
1165,ToM-scene-17-q2-reality_check,theory-of-mind,Which stack of books was Mika talking about?,Which stack of books was Mika talking about?,Which stack of books was Mika talking about?,De quelle pile de livres Mika parlait-il?
1166,bluestack,theory-of-mind,The blue stack,The blue stack,The blue stack,La pile bleue
1167,redstack,theory-of-mind,The red stack,The red stack,The red stack,La pile rouge
1168,yellowstack,theory-of-mind,The yellow stack,The yellow stack,The yellow stack,La pile jaune
1169,ToM-scene-17-q3-emotion_reasoning,theory-of-mind,Mom looks in the wrong stack of books and can’t find the book that she wanted. How do you think Mom feels about not finding the book she wanted?,Mom looks in the wrong stack of books and can’t find the book that she wanted. How do you think Mom feels about not finding the book she wanted?,Mom looks in the wrong stack of books and can’t find the book that she wanted. How do you think Mom feels about not finding the book she wanted?,La mère regarde dans la mauvaise pile de livres et ne trouve pas le livre qu'elle désirait. Comment pensez-vous que Maman se sent à l'idée de ne pas trouver le livre qu'elle voulait?
1170,ToM-scene-17-q4-emotion_reasoning,theory-of-mind,How do you think Mom would feel if she could find the book she wanted?,How do you think Mom would feel if she could find the book she wanted?,How do you think Mom would feel if she could find the book she wanted?,Comment pensez-vous que maman se sentirait si elle pouvait trouver le livre qu'elle voulait?
1171,ToM-scene-18-instruct1,theory-of-mind,"George and Kat are playing together. They look outside and see a new toy shop across the street. Kat decides to go buy some new toys at the toy shop. Kat asks George what toy he would like to have, and George says he would like a new basketball.","George and Kat are playing together. They look outside and see a new toy shop across the street. Kat decides to go buy some new toys at the toy shop. Kat asks George what toy he would like to have, and George says he would like a new basketball.","George and Kat are playing together. They look outside and see a new toy shop across the street. Kat decides to go buy some new toys at the toy shop. Kat asks George what toy he would like to have, and George says he would like a new basketball.","George et Kat jouent ensemble, ils regardent dehors et voient un nouveau magasin de jouets de l'autre côté de la rue. Kat décide d'acheter de nouveaux jouets à la boutique de jouets. Kat demande à George quel jouet il aimerait avoir, et George dit qu'il aimerait un nouveau basket-ball."
1172,ToM-scene-18-instruct2,theory-of-mind,"While Kat is walking to the toy shop, George changes his mind and yells to Kat, “Actually, can I please have some crayons?” But Kat did not hear George ask for crayons.","While Kat is walking to the toy shop, George changes his mind and yells to Kat, “Actually, can I please have some crayons?” But Kat did not hear George ask for crayons.","While Kat is walking to the toy shop, George changes his mind and yells to Kat, “Actually, can I please have some crayons?” But Kat did not hear George ask for crayons.","Alors que Kat se dirige vers le magasin de jouets, George change d’avis et crie à Kat, “En fait, puis-je s’il vous plaît avoir des crayons ? Mais Kat n'a pas entendu George demander des crayons."
1173,ToM-scene-18-q1-false_belief,theory-of-mind,Which toy does Kat think George wants from the toy shop?,Which toy does Kat think George wants from the toy shop?,Which toy does Kat think George wants from the toy shop?,Quel jouet Kat pense que George veut de la boutique de jouets?
1174,ToM-scene-18-instruct3,theory-of-mind,"Kat didn’t hear George say that he wanted crayons. So Kat thinks George wants a basketball. Kat goes to the toy shop, but then the shop owner says that they don’t have any basketballs! But they do have storybooks, so Kat buys a storybook for George instead.","Kat didn’t hear George say that he wanted crayons. So Kat thinks George wants a basketball. Kat goes to the toy shop, but then the shop owner says that they don’t have any basketballs! But they do have storybooks, so Kat buys a storybook for George instead.","Kat didn’t hear George say that he wanted crayons. So Kat thinks George wants a basketball. Kat goes to the toy shop, but then the shop owner says that they don’t have any basketballs! But they do have storybooks, so Kat buys a storybook for George instead.","Kat n'a pas entendu George dire qu'il voulait des crayons, alors Kat pense que George veut un ballon de basket. Kat va à la boutique de jouets, mais le propriétaire de la boutique dit qu’il n’a pas de basketballs! Mais ils ont des livres de conte, alors Kat achète un livre de contes pour George à la place."
1175,ToM-scene-18-q2-false_belief,theory-of-mind,Does George know that Kat bought a storybook?,Does George know that Kat bought a storybook?,Does George know that Kat bought a storybook?,George sait-il que Kat a acheté un livre de contes ?
1176,ToM-scene-18-q3-false_belief,theory-of-mind,What does George think Kat bought at the toy shop?,What does George think Kat bought at the toy shop?,What does George think Kat bought at the toy shop?,Qu'est-ce que George pense que Kat a acheté à la boutique de jouets?
1177,basketball,theory-of-mind,A basketball,A basketball,A basketball,Un basket-ball
1178,storybook,theory-of-mind,A storybook,A storybook,A storybook,Un storybook
1179,crayons,theory-of-mind,Crayons,Crayons,Crayons,Crayons
1180,ToM-scene-18-instruct4,theory-of-mind,"Kat comes back and tells George, “I’m so sorry, I couldn’t buy you a basketball because the store didn’t have any.”","Kat comes back and tells George, “I’m so sorry, I couldn’t buy you a basketball because the store didn’t have any.”","Kat comes back and tells George, “I’m so sorry, I couldn’t buy you a basketball because the store didn’t have any.”","Kat revient et dit à George&#160;: «&#160;Je suis désolé, je n’ai pas pu te acheter un basket-ball parce que le magasin n’en avait rien.&#160;»"
