old_flat_key,new_flat_key,oldDefault,newDefault,olden,newen,olden-US,newen-US,oldde,newde,oldde-DE,newde-DE,oldes,newes,oldesCO,newesCO
pages_8_elements_1_elements_0_columns_2_text,pages_8_elements_1_elements_0_columns_2_text,Somewhat well,Somewhat well,missing key,Somewhat well,missing key,Somewhat well,Trifft eher zu,Trifft eher zu,missing key,missing key,Bastante,missing key,missing key,Bastante
pages_8_elements_1_elements_0_columns_3_text,pages_8_elements_1_elements_0_columns_3_text,Very well,Very well,missing key,Very well,missing key,Very well,Trifft voll und ganz zu,Trifft voll und ganz zu,missing key,missing key,Completamente,missing key,missing key,Completamente
pages_8_elements_1_elements_0_rows_0_text,pages_8_elements_1_elements_0_rows_0_text,Your child has difficulty staying still or shows periods of over-activity.,Your child has difficulty staying still or shows periods of over-activity.,missing key,Your child has difficulty staying still or shows periods of over-activity.,missing key,Your child has difficulty staying still or shows periods of over-activity.,"Ihr Kind hat Schwierigkeiten, still zu halten oder zeigt Phasen der Überaktivität.","Ihr Kind hat Schwierigkeiten, still zu halten oder zeigt Phasen der Überaktivität.",missing key,missing key,Su niño(a) tiene dificultades para permanecer quieto o tiene periodos de hiperactividad.,missing key,missing key,Su niño(a) tiene dificultades para permanecer quieto o tiene periodos de hiperactividad.
pages_8_elements_1_elements_0_rows_1_text,pages_8_elements_1_elements_0_rows_1_text,"Your child often complains about feeling sick (ex: headache, stomach ache).","Your child often complains about feeling sick (ex: headache, stomach ache).",missing key,"Your child often complains about feeling sick (ex: headache, stomach ache).",missing key,"Your child often complains about feeling sick (ex: headache, stomach ache).",Ihr Kind klagt häufig über Unwohlsein (z. B. Kopf- oder Bauchschmerzen).,Ihr Kind klagt häufig über Unwohlsein (z. B. Kopf- oder Bauchschmerzen).,missing key,missing key,"Su niño(a) se queja a menudo de sentirse enfermo (por ejemplo, dolor de cabeza o de estómago).",missing key,missing key,"Su niño(a) se queja a menudo de sentirse enfermo (por ejemplo, dolor de cabeza o de estómago)."
pages_8_elements_1_elements_0_rows_2_text,pages_8_elements_1_elements_0_rows_2_text,Your child avoids others or prefers to spend time alone.,Your child avoids others or prefers to spend time alone.,missing key,Your child avoids others or prefers to spend time alone.,missing key,Your child avoids others or prefers to spend time alone.,Ihr Kind meidet andere oder verbringt lieber Zeit allein.,Ihr Kind meidet andere oder verbringt lieber Zeit allein.,missing key,missing key,Su niño(a) evita a los demás o prefiere pasar tiempo solo.,missing key,missing key,Su niño(a) evita a los demás o prefiere pasar tiempo solo.
pages_8_elements_1_elements_0_rows_3_text,pages_8_elements_1_elements_0_rows_3_text,Your child is often worried or anxious.,Your child is often worried or anxious.,missing key,Your child is often worried or anxious.,missing key,Your child is often worried or anxious.,Ihr Kind ist oft besorgt oder ängstlich.,Ihr Kind ist oft besorgt oder ängstlich.,missing key,missing key,Su niño(a) suele estar preocupado o ansioso.,missing key,missing key,Su niño(a) suele estar preocupado o ansioso.
pages_8_elements_1_elements_0_rows_4_text,pages_8_elements_1_elements_0_rows_4_text,You child frequently fidgets.,You child frequently fidgets.,missing key,You child frequently fidgets.,missing key,You child frequently fidgets.,Ihr Kind zappelt häufig herum.,Ihr Kind zappelt häufig herum.,missing key,missing key,Su niño(a) está inquieto con frecuencia.,missing key,missing key,Su niño(a) está inquieto con frecuencia.
pages_8_elements_1_elements_0_rows_6_text,pages_8_elements_1_elements_0_rows_5_text,"You child often seems sad, depressed, or down.","You child often seems sad, depressed, or down.",missing key,"You child often seems sad, depressed, or down.",missing key,"You child often seems sad, depressed, or down.","Ihr Kind wirkt oft traurig, deprimiert oder niedergeschlagen.","Ihr Kind wirkt oft traurig, deprimiert oder niedergeschlagen.",missing key,missing key,"Su niño(a) parece triste, deprimido o decaído con frecuencia.",missing key,missing key,"Su niño(a) parece triste, deprimido o decaído con frecuencia."
pages_8_elements_1_elements_0_rows_7_text,pages_8_elements_1_elements_0_rows_6_text,Your child gets along with other children.,Your child gets along with other children.,missing key,Your child gets along with other children.,missing key,Your child gets along with other children.,Ihr Kind versteht sich mit anderen Kindern.,Ihr Kind versteht sich mit anderen Kindern.,missing key,missing key,Su niño(a) se lleva bien con otros niños.,missing key,missing key,Su niño(a) se lleva bien con otros niños.
pages_8_elements_1_elements_0_rows_8_text,pages_8_elements_1_elements_0_rows_7_text,Your child gets distracted easily or has trouble staying on task.,Your child gets distracted easily or has trouble staying on task.,missing key,Your child gets distracted easily or has trouble staying on task.,missing key,Your child gets distracted easily or has trouble staying on task.,"Ihr Kind lässt sich leicht ablenken oder hat Schwierigkeiten, bei der Sache zu bleiben.","Ihr Kind lässt sich leicht ablenken oder hat Schwierigkeiten, bei der Sache zu bleiben.",missing key,missing key,Su niño(a) se distrae con facilidad o le cuesta concentrarse.,missing key,missing key,Su niño(a) se distrae con facilidad o le cuesta concentrarse.
pages_8_elements_1_elements_0_rows_11_text,pages_8_elements_1_elements_0_rows_8_text,"Your child often shows dishonest behavior (e.g. lying, cheating).","Your child often shows dishonest behavior (e.g. lying, cheating).",missing key,"Your child often shows dishonest behavior (e.g. lying, cheating).",missing key,"Your child often shows dishonest behavior (e.g. lying, cheating).","Ihr Kind zeigt oft unehrliches Verhalten (z. B. lügen, betrügen).","Ihr Kind zeigt oft unehrliches Verhalten (z. B. lügen, betrügen).",missing key,missing key,"Su niño(a) muestra a menudo un comportamiento deshonesto (por ejemplo, miente, engaña).",missing key,missing key,"Su niño(a) muestra a menudo un comportamiento deshonesto (por ejemplo, miente, engaña)."
pages_8_elements_1_elements_0_rows_12_text,pages_8_elements_1_elements_0_rows_9_text,"Your child has taken things without permission from home, school, or elsewhere.","Your child has taken things without permission from home, school, or elsewhere.",missing key,"Your child has taken things without permission from home, school, or elsewhere.",missing key,"Your child has taken things without permission from home, school, or elsewhere.","Ihr Kind hat ohne Erlaubnis Dinge von zu Hause, aus der Schule oder von anderswo mitgenommen.","Ihr Kind hat ohne Erlaubnis Dinge von zu Hause, aus der Schule oder von anderswo mitgenommen.",missing key,missing key,"Su niño(a) ha tomado cosas sin permiso de la casa, del colegio o de otro sitio.",missing key,missing key,"Su niño(a) ha tomado cosas sin permiso de la casa, del colegio o de otro sitio."
,pages_8_elements_1_elements_0_title,missing key,"For each item, please mark ""Not at all"", ""Not very well"", ""Somewhat well"", or ""Very well"" to indicate <i>how well</i> the sentence applies to your child. Please answer all items as best you can even if you are not absolutely certain.",missing key,missing key,missing key,missing key,missing key,"Bitte markieren Sie zu jeder Aussage, wie gut diese auf Ihr Kind zutrifft: ""Trifft überhaupt nicht zu"", ""Trifft eher nicht zu"", ""Trifft eher zu"" oder ""Trifft voll und ganz zu"". Beantworten Sie bitte alle Fragen so gut Sie können, selbst wenn Sie sich nicht ganz sicher sind.",missing key,missing key,missing key,missing key,missing key,"Para cada frase, indique <i>qué tanto</i> describe a su niño(a) con las siguientes opciones: ""Para nada"", ""Un poco"", ""Bastante"" o ""Completamente"". Le agradecemos que responda a las preguntas lo mejor que pueda, aunque no esté completamente seguro(a)."
pages_8_elements_1_elements_0_columns_0_text,pages_9_elements_0_elements_0_columns_0_text,Not at all,Not at all,missing key,Not at all,missing key,Not at all,Trifft überhaupt nicht zu,Trifft überhaupt nicht zu,missing key,missing key,Para nada,missing key,missing key,Para nada
pages_8_elements_1_elements_0_columns_1_text,pages_9_elements_0_elements_0_columns_1_text,Not very well,Not very well,missing key,Not very well,missing key,Not very well,Trifft eher nicht zu,Trifft eher nicht zu,missing key,missing key,Un poco,missing key,missing key,Un poco
pages_8_elements_1_elements_0_columns_2_text,pages_9_elements_0_elements_0_columns_2_text,Somewhat well,Somewhat well,missing key,Somewhat well,missing key,Somewhat well,Trifft eher zu,Trifft eher zu,missing key,missing key,Bastante,missing key,missing key,Bastante
pages_8_elements_1_elements_0_columns_3_text,pages_9_elements_0_elements_0_columns_3_text,Very well,Very well,missing key,Very well,missing key,Very well,Trifft voll und ganz zu,Trifft voll und ganz zu,missing key,missing key,Completamente,missing key,missing key,Completamente
pages_9_elements_0_elements_0_rows_0_text,pages_9_elements_0_elements_0_rows_0_text,Your child accepts things when they do not go their way.,Your child accepts things when they do not go their way.,missing key,Your child accepts things when they do not go their way.,missing key,Your child accepts things when they do not go their way.,"Ihr Kind akzeptiert die Dinge, wenn sie nicht seinen Vorstellungen entsprechen.","Ihr Kind akzeptiert die Dinge, wenn sie nicht seinen Vorstellungen entsprechen.",missing key,missing key,Su niño(a) acepta las cosas cuando no salen como quiere.,missing key,missing key,Su niño(a) acepta las cosas cuando no salen como quiere.
pages_9_elements_0_elements_0_rows_1_text,pages_9_elements_0_elements_0_rows_1_text,Your child copes well with failure.,Your child copes well with failure.,missing key,Your child copes well with failure.,missing key,Your child copes well with failure.,Ihr Kind kann gut mit Misserfolgen umgehen.,Ihr Kind kann gut mit Misserfolgen umgehen.,missing key,missing key,Su niño(a) afronta bien el fracaso.,missing key,missing key,Su niño(a) afronta bien el fracaso.
pages_9_elements_0_elements_0_rows_4_text,pages_9_elements_0_elements_0_rows_2_text,Your child can calm down when excited.,Your child can calm down when excited.,missing key,Your child can calm down when excited.,missing key,Your child can calm down when excited.,"Ihr Kind kann sich beruhigen, wenn es aufgeregt ist.","Ihr Kind kann sich beruhigen, wenn es aufgeregt ist.",missing key,missing key,Su niño(a) sabe calmarse cuando se altera.,missing key,missing key,Su niño(a) sabe calmarse cuando se altera.
